,ra,dec,psfmag_i,mjd_i,run
36.55677117,14.65009345,0.74223469,20.509981,5.36802654E4,5823
29.45788541,14.66812688,0.73903972,20.902317,5.36802654E4,5823
25.71131372,14.65758661,0.73327801,12.509851,5.36932676E4,5878
36.52734442,14.65010539,0.74225037,20.41889,5.36932676E4,5878
29.42801566,14.66812366,0.73908414,20.569908,5.36932676E4,5878
29.33863247,14.668097,0.73906951,20.659338,5.3698265E4,5898
36.76290575,14.65004542,0.74228169,20.452238,5.3698265E4,5898
25.7173371,14.6575618,0.73328519,12.522814,5.37042509E4,5918
36.50569994,14.65010262,0.74221074,20.334356,5.37042509E4,5918
29.47273592,14.66813106,0.73903995,20.443829,5.37042509E4,5918
